sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.6585,0.035,0.769949004310302,0.09573954029095107,0.0543131075305331,-0.01347717394988205
0.6586,0.035,0.7688270657999031,0.09566976097118965,0.05433957947990757,-0.013255435958015982
0.6587,0.035,0.7677161673661237,0.09560061810956058,0.05436723119747135,-0.013033676822450036
0.6588,0.035,0.7666163135525561,0.09553211337110405,0.054394870910273285,-0.012811896549643285
0.6589,0.035,0.7655275089022721,0.0954642484128328,0.054422498619306606,-0.012590095146053677
0.659,0.035,0.7644497579579366,0.0953970248835995,0.05445011432556652,-0.012368272618138184
0.6591,0.035,0.7633830652617308,0.09533044442395212,0.05447771803004993,-0.012146428972353181
0.6592,0.035,0.7623274353553584,0.09526450866599435,0.0545053097337541,-0.011924564215152996
0.6593,0.035,0.761282872780063,0.09519921923324685,0.05453288943767818,-0.011702678352991807
0.6594,0.035,0.7602493820766386,0.09513457774050792,0.05456045714282244,-0.011480771392322212
0.6595,0.035,0.7592269677853952,0.09507058579371154,0.054588012850188106,-0.011258843339596071
0.6596,0.035,0.7582156344461873,0.09500724498978932,0.05461555656077805,-0.011036894201264302
0.6597,0.035,0.7572153865983987,0.09494455691652984,0.054643088275596385,-0.010814923983776367
0.6598,0.035,0.7562262287809424,0.094882523152439,0.054670607995648164,-0.010592932693580618
0.6599,0.035,0.7552481655322654,0.09482114526660088,0.05469811572193978,-0.01037092033712545
0.66,0.035,0.7542812013903569,0.0947604248185389,0.054725611455479314,-0.010148886920857171
0.6601,0.035,0.7533253408927156,0.09470036335807469,0.054753095197275004,-0.009926832451220953
0.6602,0.035,0.7523805885763984,0.09464096242519224,0.054780566948338,-0.009704756934661645
0.6603,0.035,0.7514469489779495,0.0945822235498947,0.054808026709678805,-0.009482660377622297
0.6604,0.035,0.7505244266335049,0.09452414825207271,0.05483547448231088,-0.009260542786545548
0.6605,0.035,0.7496130260786809,0.09446673804135915,0.05486291026724783,-0.009038404167872813
0.6606,0.035,0.7487127518486368,0.09440999441699541,0.05489033406550464,-0.008816244528044062
0.6607,0.035,0.7478236084780564,0.09435391886769276,0.05491774587809793,-0.008594063873498838
0.6608,0.035,0.7469456005011639,0.09429851287149633,0.05494514570604519,-0.008371862210675061
0.6609,0.035,0.7460787324517152,0.09424377789564799,0.05497253355036548,-0.008149639546010456
0.661,0.035,0.7452230088629684,0.09418971539644819,0.05500442491976113,-0.00792739588594061
0.6611,0.035,0.7443784342677219,0.09413632681912275,0.05504086105442035,-0.007705131236900823
0.6612,0.035,0.7435450131983099,0.09408361359768729,0.0550772861033469,-0.007482845605324968
0.6613,0.035,0.7427227501865746,0.09403157715481075,0.05511370006716473,-0.007260538997646118
0.6614,0.035,0.7419116497638951,0.09398021890168311,0.05515010294649918,-0.007038211420295837
0.6615,0.035,0.7411117164611788,0.09392954023788122,0.05518649474197748,-0.0068158628797057655
0.6616,0.035,0.7403229548088418,0.0938795425512346,0.055222875454227625,-0.0065934933823050676
0.6617,0.035,0.7395453693368388,0.093830227217695,0.05526358504026194,-0.0063711029345226156
0.6618,0.035,0.7387789645746567,0.09378159560120428,0.055309024484362715,-0.006148691542786237
