T,K,close,r
0.3279680365,250.0000000000,63.7304660730,0.0392642737
0.3279680365,280.0000000000,47.0697129748,0.0392642737
0.3279680365,310.0000000000,34.2925114124,0.0392642737
0.3279680365,340.0000000000,25.0209038249,0.0392642737
0.3279680365,370.0000000000,18.3734335740,0.0392642737
0.3279680365,400.0000000000,13.8117383677,0.0392642737
0.3279680365,430.0000000000,10.7185636400,0.0392642737
0.3279680365,460.0000000000,8.5871406768,0.0392642737
0.3279680365,490.0000000000,7.0357069333,0.0392642737
0.3279680365,520.0000000000,5.9241782105,0.0392642737
0.3279680365,580.0000000000,4.5519040538,0.0392642737
0.4045662100,250.0000000000,68.6611919775,0.0386390985
0.4045662100,280.0000000000,52.3726926073,0.0386390985
0.4045662100,310.0000000000,39.7750980631,0.0386390985
0.4045662100,340.0000000000,30.1734170471,0.0386390985
0.4045662100,370.0000000000,23.1043674470,0.0386390985
0.4045662100,400.0000000000,17.9632292229,0.0386390985
0.4045662100,430.0000000000,14.3576835802,0.0386390985
0.4045662100,460.0000000000,11.7168556020,0.0386390985
0.4045662100,490.0000000000,9.8204566834,0.0386390985
0.4045662100,520.0000000000,8.3041023331,0.0386390985
0.4045662100,580.0000000000,6.3415214864,0.0386390985
0.6511415525,250.0000000000,81.1652688176,0.0371099886
0.6511415525,280.0000000000,66.2460539491,0.0371099886
0.6511415525,310.0000000000,53.9429340696,0.0371099886
0.6511415525,340.0000000000,44.0548459604,0.0371099886
0.6511415525,370.0000000000,36.1419605635,0.0371099886
0.6511415525,400.0000000000,29.8792851650,0.0371099886
0.6511415525,430.0000000000,25.1028058690,0.0371099886
0.6511415525,460.0000000000,21.2235722496,0.0371099886
0.6511415525,490.0000000000,18.3469255791,0.0371099886
0.6511415525,520.0000000000,15.9008730987,0.0371099886
0.6511415525,580.0000000000,12.5800000000,0.0371099886
0.9031963470,250.0000000000,91.3133667485,0.0360916508
0.9031963470,280.0000000000,76.9491510363,0.0360916508
0.9031963470,310.0000000000,65.0704555842,0.0360916508
0.9031963470,340.0000000000,55.3235160621,0.0360916508
0.9031963470,370.0000000000,47.2689823180,0.0360916508
0.9031963470,400.0000000000,40.8000000000,0.0360916508
0.9031963470,430.0000000000,35.3200000000,0.0360916508
0.9031963470,460.0000000000,30.7426485538,0.0360916508
0.9031963470,490.0000000000,27.2617362514,0.0360916508
0.9031963470,520.0000000000,24.1700000000,0.0360916508
0.9031963470,580.0000000000,19.6076209978,0.0360916508
1.2293378995,250.0000000000,102.3225294705,0.0352817415
1.2293378995,280.0000000000,89.0271337928,0.0352817415
1.2293378995,310.0000000000,77.5448509853,0.0352817415
1.2293378995,340.0000000000,68.0748507739,0.0352817415
1.2293378995,370.0000000000,59.9988022456,0.0352817415
1.2293378995,400.0000000000,53.0269976046,0.0352817415
1.2293378995,430.0000000000,47.2676690053,0.0352817415
1.2293378995,460.0000000000,42.1881205511,0.0352817415
1.2293378995,490.0000000000,37.8717706704,0.0352817415
1.2293378995,520.0000000000,34.2246378295,0.0352817415
1.2293378995,580.0000000000,28.4971019426,0.0352817415
2.1498858447,250.0000000000,127.1274546785,0.0344794317
2.1498858447,280.0000000000,115.6844332365,0.0344794317
2.1498858447,310.0000000000,105.7289731546,0.0344794317
2.1498858447,340.0000000000,96.5588986150,0.0344794317
2.1498858447,370.0000000000,88.3886228750,0.0344794317
2.1498858447,400.0000000000,81.3175773142,0.0344794317
2.1498858447,430.0000000000,75.3774713720,0.0344794317
2.1498858447,460.0000000000,69.6185529966,0.0344794317
2.1498858447,490.0000000000,64.8846554733,0.0344794317
2.1498858447,520.0000000000,60.3054918421,0.0344794317
2.1498858447,580.0000000000,52.9042334940,0.0344794317
