sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.02,0.035,58.147503044399926,0.9386281337143049,0.9218717031360899,-0.9218717031360899
0.0205,0.035,58.144186751683236,0.938601367216485,0.9218459350092659,-0.9218459350092659
0.021,0.035,58.140787967533925,0.9385739341208662,0.9218195202811514,-0.9218195202811514
0.0215,0.035,58.13730656896908,0.9385458333763016,0.9217924569391046,-0.9217924569391046
0.022,0.035,58.133742347943176,0.9385170632434655,0.9217647421547496,-0.9217647421547496
0.0225,0.035,58.1300950124471,0.9384876213036097,0.9217363722804124,-0.9217363722804124
0.023,0.035,58.12636418768207,0.9384575044679182,0.9217073428487293,-0.9217073428487293
0.0235,0.035,58.122549417551106,0.93842670898942,0.9216776485775783,-0.9216776485775783
0.024,0.035,58.11865016664564,0.9383952304788957,0.9216472833818632,-0.9216472833818632
0.0245,0.035,58.11466582284271,0.9383630639257073,0.9216162403930721,-0.9216162403930721
0.025,0.035,58.110595700571,0.9383302037240263,0.92158451198699,-0.92158451198699
0.0255,0.035,58.10643904475514,0.9382966437045371,0.921552089819474,-0.921552089819474
0.026,0.035,58.10219503540806,0.9382623771713718,0.9215189648698219,-0.9215189648698219
0.0265,0.035,58.0978627928107,0.9382273969437898,0.9214851274909724,-0.9214851274909724
0.027,0.035,58.09344138319711,0.9381916954019409,0.9214505674655814,-0.9214505674655814
0.0275,0.035,58.088929824849274,0.9381552645359424,0.9214152740668835,-0.9214152740668835
0.028,0.035,58.08432709449907,0.9381180959974414,0.921379236123196,-0.921379236123196
0.0285,0.035,58.07963213393381,0.938080181152829,0.921342442084919,-0.921342442084919
0.029,0.035,58.07484385670439,0.9380415111372914,0.9213048800929181,-0.9213048800929181
0.0295,0.035,58.06996115484127,0.9380020769089341,0.9212665380472528,-0.9212665380472528
0.03,0.035,58.064982905492144,0.9379618693022828,0.9212274036753016,-0.9212274036753016
0.0305,0.035,58.05990797740418,0.937920879080541,0.9211874645984434,-0.9211874645984434
0.031,0.035,58.0547352371845,0.9378790969860675,0.9211467083965629,-0.9211467083965629
0.0315,0.035,58.04946355528266,0.9378365137886197,0.9211051226697683,-0.9211051226697683
0.032,0.035,58.04409181164942,0.9377931203309943,0.9210626950968159,-0.9210626950968159
0.0325,0.035,58.03861890103542,0.937748907571772,0.9210194134898432,-0.9210194134898432
0.033,0.035,58.033043737902624,0.9377038666249452,0.9209752658451132,-0.9209752658451132
0.0335,0.035,58.027365260929614,0.9376579887962769,0.920930240389561,-0.920930240389561
